Human,Algorithm,Runtime
01359970,01359985,1.7373080253601074
01359990,01359978,2.5069048404693604
01359992,0135998480,2.715693950653076
01359998,01359995,1.6406846046447754
01360000,01360310,2.4727070331573486
01360100,01359937,3.7509407997131348
01360500,01360501,1.8994388580322266
01360502,01360500,1.5393037796020508
01360510,0136050207,1.9561200141906738
01360514,00345000,1.869563102722168
01360515,01360514,2.0572469234466553
01360516,01360518,2.332926034927368
01360520,01360518,1.7261958122253418
01360550,01360569,2.455779790878296
01360570,01360579,1.8880670070648193
01360583,00345000,2.667306900024414
01360640,01360648,2.324291944503784
01360650,00345000,2.4635181427001953
01360700,01360710,3.2644731998443604
01360850,01360972,3.418797254562378
01360995,01360991,2.651540994644165
01361040,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01361050,01361055,2.250293016433716
01361060,00345000,2.332563877105713
01361210,01361202,2.315823793411255
01361263,01361255,3.179161787033081
01361270,01361238,2.819293975830078
01361300,ERROR: 'int' object has no attribute 'extension',NaN
01361310,01361293,2.693315029144287
01361320,01361323,1.6512560844421387
01361325,01361322,2.304319143295288
0136133001,01361332,2.1041252613067627
01361340,01360998,5.453481912612915
01361388,01360956,3.4513959884643555
01361450,01361724,5.9775989055633545
01361453,00345000,2.6765811443328857
01361495,01361489,1.772700309753418
01361500,01361569,2.1151959896087646
01361510,00345000,3.8099207878112793
01361570,01361570,1.5911962985992432
01361572,00345000,2.8558757305145264
01361725,01361718,2.294928789138794
01361750,01361753,2.924273729324341
01361785,01361733,4.627791881561279
01361900,01361881,2.123525857925415
01362000,01362032,2.67486834526062
01362012,00345000,2.8862688541412354
01362027,0136202231,2.1428840160369873
01362028,00345000,1.964353084564209
01362032,01362028,2.142899990081787
01362050,01362037,5.977978229522705
01362090,01361752,5.715420246124268
01362100,00345000,2.5032660961151123
01362150,01362139,2.6430909633636475
01362155,01362155,1.748690128326416
01362156,01362156,2.55131196975708
0136215855,01362085,3.774352788925171
01362159,01362158,1.7454359531402588
01362160,0136216250,2.2877490520477295
01362161,01362159,2.1802849769592285
01362163,0136216269,3.587268114089966
01362164,01362162,1.7449111938476562
01362169,0136216917,1.9497871398925781
01362170,-1,4.118962049484253
01362172,0136217272,2.26265811920166
01362174,01362173,2.0536561012268066
01362180,01362168,1.9868237972259521
01362181,01362120,3.8834950923919678
01362182,01362122,3.73850417137146
01362183,01362172,1.7829079627990723
01362185,00345000,2.321682929992676
01362192,01362133,4.5817742347717285
013621955,0136219523,2.045320987701416
0136219565,01362177,2.663867950439453
01362197,00345000,2.222864866256714
01362198,0136219962,2.8125898838043213
01362199,01362196,2.2913732528686523
0136223005,ERROR: 'int' object has no attribute 'extension',NaN
01362291,01362281,2.551299810409546
01362300,01362298,2.6839849948883057
0136230002,00345000,3.019378900527954
01362322,01362323,1.846510887145996
01362330,0136233003,1.742271900177002
01362332,01362332,2.762989044189453
01362342,01362335,2.554190158843994
01362349,00345000,2.4522502422332764
01362365,01362366,1.7847511768341064
01362398,00345000,2.076018810272217
01362400,01362398,2.1198620796203613
01362430,01362485,2.8219010829925537
01362465,01362466,1.9668920040130615
01362470,-1,2.4944229125976562
01362486,01362480,1.9826037883758545
01362487,01362427,2.525033950805664
01363380,01363362,2.7676498889923096
01363382,01363384,4.834346055984497
01363388,01363376,6.793256044387817
01363400,ERROR: list index out of range,NaN
01363401,ERROR: Error: Unimplemented conflicting series check!,NaN
01363500,01363232,7.12383508682251
01363530,01363545,2.9899120330810547
01363556,01363552,1.836771011352539
01363560,01363552,1.813288927078247
01363570,00345000,2.2301528453826904
01363580,01363570,2.961467981338501
01363740,01363713,1.9814531803131104
01363950,01363956,1.8388879299163818
01363973,00345000,1.8624191284179688
01363980,01363980,2.203885793685913
01363985,01363983,3.09722900390625
01363987,01363966,2.0773367881774902
01364000,01364183,2.39982008934021
01364160,01364135,3.283453941345215
01364170,01364155,3.1830637454986572
01364195,01364196,1.8475730419158936
01364200,-1,1.941861867904663
0136420008,01364203,2.0169408321380615
01364400,01364198,3.691129207611084
01364501,01364465,3.348299980163574
01364700,ERROR: 'int' object has no attribute 'extension',NaN
01364800,01364439,5.033143043518066
01364950,01372004,1.6950500011444092
01364959,0136495927,1.6339068412780762
01364960,00345000,2.8204312324523926
01364974,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01364980,0136497948,4.295584678649902
01365000,01365451,5.391144752502441
01365450,01365498,2.477226972579956
01365500,01364914,3.7114670276641846
